f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,y
0.009724,0.003862,0.000000,0.000000,0.220000,0.002478,0.000000,0.000000,0.000000,0.000000,0.011364,0.000000,0.028571,0.004866,1.000000,0.415537,0.457143,0.086957,0.818182,0.500000,1
0.003303,0.000386,0.000000,0.000000,0.220000,0.003717,0.000000,0.000000,0.000000,0.000000,0.011364,0.090909,0.028571,0.001653,1.000000,0.028676,0.744898,0.130435,0.909091,0.500000,0
0.210349,0.095289,0.000000,0.000000,0.004053,0.003345,0.013158,0.000000,0.000000,0.000000,0.045455,0.000000,0.028571,0.195199,0.833300,0.016684,0.863265,0.217391,0.636364,0.500000,0
0.170578,0.010098,0.000000,0.000000,0.038241,0.003098,0.000000,0.000000,0.000000,0.000000,0.056818,0.000000,0.028571,0.136388,1.000000,0.062044,0.630612,0.826087,0.545455,1.000000,0
0.011212,0.086889,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011364,0.000000,0.028571,0.005611,1.000000,0.030240,0.689796,0.347826,0.909091,0.500000,0
0.000000,0.000000,0.000000,0.000000,0.000000,0.011771,0.000000,0.000000,0.045198,0.081081,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.359184,0.608696,0.636364,0.500000,0
0.041791,0.030508,0.000000,0.000000,0.046329,0.001611,0.000000,0.000000,0.056497,0.027027,0.090909,0.000000,0.114286,0.039836,1.000000,0.173097,0.632653,0.347826,0.000000,1.000000,0
0.017330,0.006662,0.000000,0.000000,0.085797,0.003469,0.000000,0.000000,0.000000,0.000000,0.045455,0.000000,0.085714,0.021722,1.000000,0.352450,0.728571,0.782609,0.727273,0.500000,1
0.035964,0.018923,0.000000,0.000000,0.047755,0.003469,0.052632,0.019231,0.022599,0.270270,0.022727,0.000000,0.028571,0.033550,0.884600,0.209072,0.673469,0.739130,0.545455,0.500000,0
0.004761,0.001931,0.000000,0.000000,0.100000,0.002850,0.000000,0.000000,0.000000,0.027027,0.034091,0.000000,0.085714,0.002677,1.000000,0.476017,0.616327,0.869565,0.454545,1.000000,1
0.067530,0.006082,0.000000,0.000000,0.092698,0.004584,0.078947,0.019231,0.000000,0.054054,0.068182,0.000000,0.114286,0.122279,0.750000,0.251825,0.702041,0.043478,0.000000,1.000000,1
0.007025,0.000386,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034091,0.000000,0.085714,0.003888,1.000000,0.000000,0.653061,0.869565,0.000000,1.000000,1
0.017563,0.001641,0.000000,0.000000,0.000000,0.004337,0.013158,0.000000,0.000000,0.000000,0.022727,0.000000,0.057143,0.014319,0.750000,0.000000,0.597959,0.565217,0.272727,1.000000,0
0.014702,0.000000,0.000000,0.000000,0.000000,0.005328,0.000000,0.000000,0.000000,0.000000,0.011364,0.000000,0.028571,0.007357,1.000000,0.000000,0.606122,1.000000,1.000000,0.500000,0
0.041849,0.000386,0.000000,0.000000,0.000000,0.004337,0.000000,0.000000,0.000000,0.027027,0.045455,0.000000,0.028571,0.025960,1.000000,0.000000,0.628571,0.695652,0.181818,1.000000,0
0.000000,0.000000,0.000000,0.000000,0.000000,0.004584,0.013158,0.000000,0.000000,0.945946,0.000000,0.000000,0.000000,0.000000,0.987800,0.000000,0.738775,0.173913,0.272727,1.000000,0
0.024449,0.000483,0.000000,0.000000,0.000000,0.023913,0.013158,0.000000,0.000000,0.000000,0.022727,0.000000,0.057143,0.016391,0.500000,0.000000,0.602041,0.782609,0.545455,0.500000,1
0.037669,0.000000,0.000000,0.000000,0.000000,0.005576,0.000000,0.000000,0.000000,0.000000,0.034091,0.000000,0.028571,0.023375,1.000000,0.000000,0.661224,0.565217,0.454545,1.000000,1
0.005281,0.001931,0.000000,0.000000,0.080000,0.003221,0.000000,0.000000,0.000000,0.000000,0.022727,0.090909,0.057143,0.003795,1.000000,0.178832,0.644898,0.217391,0.000000,1.000000,1
0.053891,0.000000,0.000000,0.000000,0.000000,0.275183,0.000000,0.000000,0.000000,0.000000,0.136364,0.000000,0.114286,0.058788,1.000000,0.000000,0.671429,0.956522,0.636364,0.500000,0
0.081540,0.241321,0.000000,0.000000,0.059498,0.001363,0.000000,0.000000,0.000000,0.000000,0.181818,0.000000,0.200000,0.213359,1.000000,0.294578,0.540816,0.782609,0.545455,0.500000,0
0.001349,0.000000,0.000000,0.000000,0.000000,0.000867,0.000000,0.000000,0.000000,0.000000,0.011364,0.090909,0.028571,0.000675,1.000000,0.000000,0.406122,0.869565,0.545455,0.500000,0
0.010747,0.000000,0.000000,0.000000,0.000000,0.005823,0.000000,0.000000,0.000000,0.000000,0.011364,0.000000,0.028571,0.005378,1.000000,0.000000,0.632653,0.739130,1.000000,0.000000,1
0.024705,0.000965,0.000000,0.000000,0.088000,0.002230,0.000000,0.000000,0.127119,0.162162,0.011364,0.000000,0.028571,0.012363,0.642900,0.011470,0.565306,0.173913,0.818182,1.000000,1
0.023653,0.003862,0.000000,0.000000,0.124000,0.003593,0.000000,0.000000,0.000000,0.000000,0.056818,0.000000,0.085714,0.019930,1.000000,0.481752,0.632653,0.956522,1.000000,0.500000,1
0.142860,0.000000,0.000000,0.000000,0.000000,0.031718,0.000000,0.000000,0.000000,0.243243,0.090909,0.000000,0.000000,0.087705,1.000000,0.000000,0.675510,0.695652,1.000000,0.500000,0
0.012934,0.000000,0.000000,0.000000,0.000000,0.008177,0.000000,0.000000,0.000000,0.000000,0.011364,0.000000,0.028571,0.006472,1.000000,0.000000,0.610204,0.739130,0.636364,0.500000,1
0.042345,0.014831,0.000000,0.000000,0.090092,0.001487,0.000000,0.000000,0.000000,0.000000,0.068182,0.000000,0.085714,0.036134,1.000000,0.325860,0.618367,0.956522,0.909091,0.500000,1
0.027010,0.000965,0.000000,0.000000,0.160000,0.001859,0.013158,0.019231,0.000000,0.054054,0.102273,0.000000,0.228571,0.022211,0.928600,0.264859,0.606122,0.043478,0.818182,1.000000,1
0.002943,0.001352,0.000000,0.000000,0.142857,0.004089,0.000000,0.000000,0.000000,0.000000,0.045455,0.272727,0.114286,0.003679,1.000000,0.133994,0.655102,0.478261,0.363636,1.000000,1
0.004260,0.007048,0.000000,0.000000,0.139178,0.003221,0.000000,0.000000,0.000000,0.027027,0.079545,0.363636,0.200000,0.004470,1.000000,0.118874,0.612245,0.695652,0.545455,0.500000,0
0.018958,0.026685,0.000000,0.000000,0.086252,0.001859,0.000000,0.000000,0.000000,0.000000,0.215909,0.000000,0.514286,0.019557,1.000000,0.174140,0.667347,1.000000,0.181818,1.000000,0
0.024627,0.003476,0.000000,0.000000,0.135556,0.006195,0.039474,0.019231,0.000000,0.081081,0.034091,0.000000,0.057143,0.031850,0.916700,0.124088,0.620408,0.782609,0.818182,0.500000,1
0.154918,0.004248,0.000000,1.000000,0.127273,0.001859,0.065789,0.500000,0.146893,0.000000,0.113636,0.000000,0.057143,0.138856,0.533300,0.065693,0.612245,0.739130,0.636364,1.000000,1
0.032176,0.008303,0.000000,0.000000,0.133953,0.001859,0.000000,0.000000,0.000000,0.000000,0.113636,0.181818,0.228571,0.087751,1.000000,0.248175,0.653061,0.043478,0.363636,1.000000,1
0.053795,0.203707,0.000000,0.000000,0.012019,0.002230,0.000000,0.000000,0.000000,0.000000,0.261364,0.181818,0.428571,0.104026,1.000000,0.065693,0.783673,0.826087,0.636364,1.000000,0
