f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,class
618.0,1.0,0.087,1,4,6,4,0,6192,1545.833333333333,3000.0,0.0,35.0,0.009000000000000001,0.0,0.0,0.0,0
365.0,0.5,1.3869999999999998,0,1,1,1,0,121,121.0,300.0,0.19666666666666666,1614.0,0.15666666666666668,1.0,0.0,0.0,0
579.0,1.0,0.4,1,3,3,3,0,390,208.66666666666663,250.0,0.0,76.0,0.10800000000000001,0.0,0.0,0.0,0
450.0,1.0,0.0,0,2,2,3,0,227,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
543.0,1.0,0.0,0,1,1,2,0,237,237.0,0.0,0.0,191.0,0.0,0.0,0.0,0.0,1
560.0,1.0,0.0,0,3,5,6,0,1256,727.8,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0
584.0,0.7761,0.122,2,10,19,3,0,1075,654.7368421052631,2550.0,0.392156862745098,21.0,0.01647058823529412,43.0,4.0,2.0,0
620.0,1.0,0.0,1,3,8,8,0,2048,924.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0
538.0,0.6,0.0,0,1,5,4,0,2491,1539.6,200.0,0.0,688.0,0.0,0.0,0.0,6.0,0
543.0,0.6,0.0,0,1,5,4,0,2469,1517.6,200.0,0.0,666.0,0.0,0.0,0.0,6.0,1
614.0,0.6,0.0,0,0,2,3,0,3977,3943.0,0.0,0.0,1861.0,0.0,0.0,0.0,12.0,1
548.0,0.4286,0.0,0,3,15,8,0,3003,2067.4,0.0,0.0,638.0,0.0,0.0,0.0,12.0,0
536.0,0.2857,0.0,0,4,16,10,0,2933,1874.3125,0.0,0.0,568.0,0.0,0.0,0.0,15.0,0
657.0,1.0,0.326,0,11,19,0,0,4438,1475.421052631579,41649.0,0.0,40.0,0.007275084635885615,0.0,0.0,0.0,0
467.0,0.4412,0.917,0,4,20,0,0,2031,1144.95,8608.0,0.03938197026022305,122.0,0.04217007434944238,5.0,1.0,0.0,0
